stát	stá t
vyslepit	vy slep i t
bilabiála	bi lab iál a
práchnivění	prách n iv ě n í
zezlatovění	ze zlat ov ě n í
početí	po č e t í
napětí	na p ě t í
spočívat	s po č í v a t
inkasovat	in kas ova t
rachot	rachot
komentátor	koment át or
konzultovat	konzult ova t
popkultura	pop kult ur a
strážovský	stráž ov sk ý
reagovat	reag ova t
reformátor	re form átor
účeloslovný	ú čel o slov n ý
lakýrka	lak ýrk a
zhoršovat	z horš ova t
znovu	znovu
zpopelavět	z popel av ě t
zakyselování	za kys e l ová n í
spotřeba	s po třeb a
alba	alb a
obhajoba	ob haj ob a
sazba	saz b a
tržba	trž b a
kanonáda	nanon ád a
děda	děd a
předseda	před sed a
přírodověda	pří rod o věd a
nápověda	ná po věd a
třída	tříd a
metoda	metod a
odrůda	od růd a
pýcha	pých a
obíhačka	o bíh a čk a
maniačka	mani ač k a
břinkačka	břink a čk a
pleskačka	plesk a čk a
rýhovačka	rýh ova čk a
ovečka	oveč k a
korbička	korb ičk a
třídička	tříd i čk a
žežhulička	žežhul ičk a
taštička	tašt ičk a
hlavička	hlav ičk a
dvouročka	dv ou roč k a
obhlídka	ob hlíd k a
choreografka	choreo graf k a
ekonomika	eko nom ik a
sociálka	soci ál k a
válka	válk a
přispěvatelka	při spěv a tel k a
živitelka	živ i tel k a
sedmapůlka	sedm a půl k a
banka	bank a
strouhanka	strouh a n k a
chovanka	chov a n k a
antihrdinka	ant i hrd in k a
zdrobnělinka	z drob n ě in k a
meduňka	meduňk a
zlehounka	z leh ounk a
breberka	breber k a
smaltérka	smalt ér k a
prověrka	pro věr k a
kooperátorka	koo oper átor k a
zubatka	zub at k a
šťavnatka	šťav nat ý
šprtka	šprt k a
externistka	ex tern ist k a
kariéristka	kariér ist k a
třpytka	třpyt k a
ucpávka	u cp áv k a
cívka	cív k a
lícovka	líc ovk a
šmirglovka	šmirgl ovk a
větrovka	větr ovk a
porážka	po ráž k a
biosložka	bio s lož k a
schůzka	s chůz k a
skorocela	skoro cel a
gorila	goril a
síla	síl a
doma	dom a
zdarma	z darm a
karyoplazma	karyo plazm a
cena	cen a
změna	z měn a
složenina	s lož en in a
čtveřina	čtveř in a
elektřina	elektř in a
mašina	mašin a
cimrmanovština	cimrman ov št in a
jednotlivina	jedn ot liv in a
lihovina	lih ov in a
panna	pann a
sezóna	sezón a
harpuna	harpun a
pojišťovna	po jišť ovn a
štípa	štíp a
příkopa	pří kop a
ara	ara
včera	včer a
videokamera	video kamer a
mikrokamera	mikro kamer a
brožura	brožur a
dvojtrasa	dv oj tras a
elasticita	elast ic it a
sobota	sobot a
tesknota	tesk n ot a
čistota	čist ot a
fotbalista	fot bal ist a
starosta	star ost a
úprava	ú prav a
réva	rév a
kopřiva	kopřiv a
sebezáchova	seb e zá chov a
dozlatova	do zlat ov a
taxa	tax a
pavéza	pavéz a
pláč	pláč
vymetávač	vy met áv ač
zamazávač	za maz áv ač
blikanec	blik a nec
nevěstinec	nevěst inec
nakonec	na konec
lidokupec	lid o kup ec
bioblouznivec	bio blouz n iv ec
náruživec	ná ruž iv ec
ledovec	led ov ec
oranžovec	oranž ov ec
řidič	řid i č
drtič	drt i č
pomoc	po moc
kotouč	kotou č
tyč	tyč
nápad	ná pad
biosad	bio sad
benzylchlorid	benz yl chor id
fastfood	fast food
závod	zá vod
doprovod	do pro vod
větrovod	větr o vod
hazard	hazard
doposud	do po sud
prezentace	prezent ac e
denormalizace	de norm al iz ac e
dvojice	dv oj ic e
sebevíce	seb e víc e
lekce	lekc e
protekce	pro tekc e
bilance	bilanc e
medvídě	medvíd ě
demokracie	demo krac ie
kartografie	kart o graf ie
tafie	tafi e
dilogie	di log i e
dermatovenerologie	dermat o vener o log i e
chirurgie	chirurg ie
kategorie	kategor ie
galaxie	galax ie
maloburžoazie	mal o buržoaz ie
takhle	tak hle
košile	košil e
vytryskle	vy trysk l e
uskříple	u skříp l e
samozřejmě	sam o zřej m ě
zneuznaně	z ne u zna n ě
vyzdvihovávaně	vy z dvih ová v a n ě
převolovávaně	pře vol ová v a n ě
dublovaně	dubl ova n ě
nabiflovaně	na bifl ova n ě
vypilovaně	vy pil ova n ě
nadrátovaně	na drát ova n ě
stočné	s toč n é
následně	ná sled n ě
bezvýsledně	bez vý sled n ě
tančeně	taneč n ě
zolovnatěně	z olov nat ě n ě
reálně	reál n ě
klerikálně	kler ik ál n ě
vposlouchatelně	v po slouch a teln ě
přehernovávatelně	pře her n ová v a teln ě
zklasicizovatelně	z klas ic iz ova teln ě
starozákonně	star o zá kon n ě
štěpně	štěp n ě
útrpně	ú trp n ě
vstupné	v stup n é
potvorně	po tvor n ě
krásně	krás n ě
směšně	směš n ě
vícerychlostně	víc e rychl ost n ě
hlavně	hlav n ě
dvouvrstevně	dv ou vrstev n ě
vůdkyně	vůd kyn ě
pastorkyně	past or kyn ě
záslužně	zá služ n ě
staře	stař e
srostitě	s rost it ě
zvláště	zvláště
pracoviště	prac ov išt ě
zvědavě	z věd av ý
třesavě	třes a v ý
klopýtavě	klopýt av ě
spolehlivě	s po leh liv ě
opovržlivě	o po vrž liv ě
kapičkově	kap ičk ov ě
masově	mas ov ě
výčtově	vý čt ov ě
koroze	koroz e
verze	verz e
šéf	šéf
traumatolog	traum at o log
zásah	zá sah
potah	po tah
návrh	ná vrh
dluh	dluh
druh	druh
kombi	kombi
období	ob dob í
předací	pře d a c í
seznací	se zn a c í
klusací	klus a c í
odšplhávací	od šplh á v a c í
samonasávací	sam o na sá v a c í
zkomponovávací	z kom pon ová v a c í
zúčtovávací	z ú čt ová v a c í
dolévací	do lé v a c í
zpožďovací	z požď ova c í
odtahovací	od tah ova c í
vložkovací	v lož k ova c í
oddalovací	od dal ova c í
krakelovací	krakel ova c í
ošetřovací	o šetř ova c í
zastavovací	za stav ova c í
rozmývací	roz mýv a c í
morčecí	morč ec í
rozpéci	roz péc i
svářecí	s vář e c í
vyvážecí	vy váž e c í
svatořečící	svat o řeč íc í
čudící	čud íc í
utichající	u tich aj íc í
předstírající	před s tír aj íc í
mávající	máv aj íc í
nocovávající	noc ová v aj íc í
reprodukovávající	re pro duk ová v aj íc í
zvodňovávající	z vod ň ová v aj íc í
chybějící	chyb ěj íc í
podjíždějící	pod jížd ěj íc í
slibující	s lib uj íc í
vylehčující	vy leh č uj íc í
burcující	burc uj íc í
vysídlující	vy sídl uj íc í
rozměňující	roz měň uj íc í
fascinující	fascin uj íc í
vyplňující	vy plň uj íc í
režírující	rež ír uj íc í
kočí	koč í
výročí	vý roč í
nářadí	ná řad í
sebeprimitivněji	seb e primitiv n ěj i
sebepoctivěji	seb e po ct iv ěj i
velmi	velmi
hýbání	hýb á n í
dobrozdání	dobr o zd á n í
rozšvihání	roz švih á ní
přiklekání	při klek á n í
strkání	strk á n í
nablýskání	na blýsk á n í
zaštkání	za štk á n í
volání	vol á n í
nadýmání	na dým á n í
rozebrání	roz e br á n í
sehrání	se hrá n í
doprání	do pr á n í
větrání	větr á n í
týrání	týr á n í
prometání	pro met á n í
zašepotání	za šepot á n í
předobjednávání	před ob jedn á v á n í
hrávání	hrá v á n í
pročítávání	pro čít á v á n í
profinancovávání	pro financ ová v á n í
vyšachovávání	vy šach ová v á n í
onanovávání	onan ová v á n í
svíjívání	svíj í v á n í
úplatkařívání	ú plat k ař í v á n í
shrabování	s hrab ová n í
vyhrabování	vy hrab ová n í
vyučování	vy uč ová n í
odlogování	od log ová n í
zasmyčkování	za smyč k ová n í
nabatikování	na batik ová n í
podpískování	pod písk ová n í
nařízkování	na říz k ová n í
přeškálování	pře škál ová n í
zesvětlování	ze svět l ová n í
abonování	abon ová n í
tepování	tep ová n í
šopování	šop ová n í
posvařování	po s vař ová n í
producírování	pro duc ír ová n í
lakýrování	lak ýr ová n í
ztišování	z tiš ová n í
sebeobnažování	seb e ob naž ová n í
pokonverzování	po kon verz ová n í
zakrývání	za krýv á n í
osobní	osob n í
předsváteční	před svát eč n í
tradiční	trad ič n í
potoční	po toč n í
pokladní	po klad n í
střední	střed n í
myeloidní	myel oid n í
zasečení	za seč en í
cvičení	cvič en í
přisvícení	při svíc en í
stočení	s toč en í
vyloučení	vy louč en í
podvádění	pod vád ě n í
zajíždění	za jížd ě n í
oddálení	od dál en í
žbrdlení	žbrdl en í
oddělení	od děl en í
pododdělení	pod od děl en í
porozumění	po roz um ě n í
samooplodnění	sam o o plod n ě n í
ozelenění	o zelen ě n í
proslinění	pro s lin ě n í
zatarasení	za taras en í
vymístění	vy míst ěn í
vybavení	vy bav en í
přetmavení	pře tmav en í
obnovení	ob nov en í
přepažení	pře paž en í
upražení	u praž en í
vrážení	v ráž e n í
zařízení	za říz en í
vrchní	vrch n í
policejní	policej n í
jubilejní	jubilej n í
unijní	unij n í
nájemní	ná jem n í
okenní	oken n í
výkupní	vý kup n í
župní	žup n í
sekundární	sekund árn í
sanktusní	sanktus n í
luxusní	luxus n í
konsonantní	kon son ant n í
semipermanentní	semi permanent n í
kontrastní	kontrast n í
stížnostní	s tíž n ost n í
příhlavní	pří hlav n í
úhlavní	ú hlav n í
poproduktívní	po pro duk t iv n í
elektromontážní	elektr o mont áž n í
televizní	tele viz n í
kocouří	koc ouř í
sebenepotřebnější	seb e po třeb n ějš í
přerostší	pře rost š í
napěchovavší	na pěch ova vš í
odpersonalizovavší	od person al iz ova vš í
vskočivší	v skoč i vš í
pití	pi t í
nadužití	nad u ži t í
zcestí	z cest í
vcucnutí	v cuc nu t í
ušťouchnutí	u šťouch nu t í
naběhnutí	na běh nu t í
přeběhnutí	pře běh nu t í
prokřehnutí	pro křeh nu t í
požehnutí	po žeh nu t í
mytí	my t í
zupáctví	zup ác tv í
velkoknížectví	velk o kníž ec tv í
mincovnictví	minc ovn ic tv í
farizejství	farizej stv í
knihomilství	knih o mol stv í
tajemství	taj em stv í
prvenství	prven stv í
pekařství	pek ař stv í
malířství	mal íř stv í
synovství	syn ov stv í
cizí	ciz í
výdaj	vý daj
doprovoďák	do pro voď ák
nijak	ni jak
hliňák	hliň ák
sedmimetrák	sedm i metr ák
pohrobek	po hrob ek
pětinásobek	pět i ná sob ek
bouček	bouč ek
štůček	štůč ek
výsledek	vý sled ek
přivýdělek	při vý děl ek
kolek	kolek
snímek	s ním ek
blázínek	blázín ek
desetimilionek	deset i milion ek
kočárek	kočár ek
poplatek	po plat ek
mostek	most ek
výrostek	vý rost ek
podvozek	pod voz ek
alkoholik	alkohol ik
záznamník	zá znamn ík
slovník	slov n ík
hamižník	hamiž n ík
samcoložník	samc o lož n ík
tělocvik	těl o cvik
náskok	ná skok
přesmyk	pře smyk
regál	regál
tribunál	tribun ál
žadatel	žad a tel
zastavatel	za stav a tel
zařizovatel	za řiz ova tel
ředitel	řed i tel
strojitel	stroj i tel
přemožitel	pře mož i tel
vajgl	vajgl
cíl	cíl
autodíl	aut o díl
rozdíl	roz díl
záhul	zá hul
titul	titul
omyl	o myl
drahokam	drah o kam
trám	trám
příjem	pří jem
červenozem	červen o zem
velkolom	velk o lom
studium	stud i um
obludárium	o blud ári um
skriptum	skript um
občan	obč an
čegan	čegan
orgán	orgán
hejtman	hejtman
glykogen	glyk o gen
červen	červen
féničančin	fénič an č in
nančin	nanč in
reportérčin	report ér č in
sirénin	sirén in
albínin	albín in
radon	radon
stadión	stadión
baron	baron
aceton	acet on
nealko	ne alko
oko	ok o
hledisko	hled isk o
těžko	těž k o
šplhadlo	šplh a dl o
křeslo	křesl o
bezvětrno	bez větr n o
plátno	plátn o
dláto	dlát o
líto	lít o
jelito	jelit o
proto	pro t o
přesto	přes t o
strávnictvo	s tráv nic tv o
vektroskop	vektr o skop
nákup	ná kup
rozestup	roze stup
dvacetikrejcar	dvacet i krejcar
kronikář	kronik ář
veslař	vesl ař
novinář	nov in ář
kladivář	kladiv ář
nešvar	ne švar
autobazar	aut o bazar
kaskadér	kaskad ér
burger	burger
téměř	téměř
soupeř	sou peř
boxer	box er
termidor	termidor
adaptor	adapt or
pseudoprostor	pseudo pro stor
centimetr	centi metr
centr	centr
katastr	katastr
mistr	mistr
dvůr	dvůr
halas	halas
ves	vesl ař
dopis	do pis
rukopis	ruk o pis
protispis	proti s pis
klitoris	klitoris
kiks	kiks
trans	trans
smrtonoš	smrt o noš
verš	verš
determinismus	de termin ismus
amatérismus	amatér ismus
poststalinizmus	po stalin izmus
rozdloubat	roz dloub a t
předkládat	před klád a t
padat	pad a t
připadat	při pad a t
vypadat	vy pad a t
podat	po d a t
nakrafat	na kraf a t
nechat	nech a t
léhat	léh a t
poléhat	po léh a t
probíhat	pro bíh a t
lákat	lák a t
honkat	honk a t
dělat	děl a t
rozposílat	roz po síl a t
kverlat	kverl a t
poslat	po sl a t
smát	smá t
jednat	jedn a t
znamenat	znamen a t
znát	zn á t
rozdírat	roz dír a t
napsat	na ps a t
dostat	do st a t
uplácávat	u plác á v a t
doprodávat	do pro d á v a t
dojednávat	do jedn á v a t
dopátrávat	do pátr á v a t
přečůrávat	pře čůr á v a t
vstávat	v stá v a t
vyzívávat	vy zív á v a t
shromažďovávat	s hromažď ová v a t
ohoblovávat	o hobl ová v a t
zamilovávat	za mil ová v a t
skupovávat	s kup ová v a t
odoperovávat	od oper ová v a t
zfušovávat	z fuš ová v a t
dotvrzovávat	do tvrz ová v a t
přelobbovat	pře lobb ova t
spolupracovat	spolu prac ova t
zpřevracovat	z pře vrac ova t
vyhrocovat	vy hrot ova t
obkročovat	ob kroč ova t
prokoučovat	pro kouč ova t
doporučovat	do po ruč ova t
zasycovat	za syc ova t
kandidovat	kandid ova t
obhajovat	ob haj ova t
pošpičkovat	po špič k ova t
zasáňkovat	za sáň k ova t
exhumovat	ex hum ova t
zalidňovat	za lid ň ova t
zatrénovat	za trén ova t
shrnovat	s hrn ova t
zdůrazňovat	z dů raz ň ova t
rozzipovat	roz zip ova t
stopovat	stop ova t
spárovat	s pár ova t
interferovat	inter fer ova t
šifrovat	šifr ova t
inspirovat	in spir ova t
servírovat	serv ír ova t
cenzurovat	cenzur ova t
repasovat	re pas ova t
zalitovat	za lit ova t
zesíťovat	ze síť ova t
rebootovat	re boot ova t
přicestovat	při cest ova t
poskytovat	po skyt ova t
zastavovat	za stav ova t
přechlazovat	pře chlaz ova t
rozsazovat	roz saz ova t
osvěžovat	o svěž ova t
tragizovat	trag iz ova t
svrbět	svrb ě t
rozpočet	roz počet
odvádět	od vád ě t
odsedět	od sed ě t
vidět	vid ě t
vyjet	vy je t
tablet	tablet
atlet	atlet
odklánět	od klán ě t
vápenět	vápen ě t
zapršet	za prš e t
vypršet	vy prš e t
pokoušet	po kouš e t
zadržet	za drž e t
působit	pů sob i t
utlačit	u tlač i t
označit	o znač i t
samoléčit	sam o léč i t
vročit	v roč i t
barvocit	barv o cit
přeřadit	pře řad i t
vadit	vad i t
vycídit	vy cíd i t
pořídit	po říd i t
prochodit	pro chod i t
nudit	nud i t
jezdit	jezd i t
trefit	tref i t
jít	jí t
zahájit	za háj i t
dojít	do jí t
pálit	pál i t
krášlit	krášl i t
rozsvětlit	roz svět l i t
limit	limit
prokrmit	pro krm i t
zenit	zenit
oženit	o žen i t
lignit	ligni
uvolnit	u vol n i t
napít	na pí t
škorpit	škorp i t
odkoupit	od koup i t
oškvařit	o škvař i t
povařit	po vař i t
odsířit	od síř i t
uzavřít	u za vř í t
šít	 ší t
rozprášit	roz práš i t
hematit	hemat it
poobrátit	po ob rát i t
chtít	cht í t
vyjednotit	vy jedn ot i t
zhodnotit	z hodn ot i t
štít	štít
klestit	klest i t
propustit	pro pust i t
bavit	bav i t
slavit	slav i t
projevit	pro jev i t
lovit	lov i t
ulovit	u lov i t
mluvit	mluv i t
respekt	respekt
forint	forint
recept	recept
koncert	koncert
klást	klás t
usnést	u nés t
pěst	pěst
trest	trest
převést	pře vés t
provést	pro vés t
uvést	u vés t
vyhníst	vy hnís t
tarifnickost	tarif nic k ost
kacířskost	kacíř sk ost
halasovskost	halas ovsk ost
pobledlost	po bled l ost
cáklost	cák l ost
neuspěchanost	ne u spěch a n ost
přeznačkovávanost	pře znač k ová v a n ost
samobělívanost	sam o běl í v a n ost
disponovanost	dis pon ova n ost
nepozorovanost	ne po zor ova n ost
neorganizovanost	ne organ iz ova n ost
mocnost	moc n ost
výlučnost	vý luč n ost
slednost	sled n ost
nevhodnost	ne v hod n ost
nevýhodnost	ne vý hod n ost
zamračenost	za mrač en ost
nepodmíněnost	ne pod mín ěn ost
ochmýřenost	o chmýř en ost
uhozenost	u hoz en ost
přetíratelnost	pře tír a teln ost
udusatelnost	u dus a teln ost
vládávatelnost	vlád á v a teln ost
dokousávatelnost	do kous á v a teln ost
spolupůsobívatelnost	spolu působ í v a teln ost
manažovatelnost	manaž ova teln ost
zaúchylkařitelnost	za ú chyl k ař i teln ost
nepřeložitelnost	ne pře lož i teln ost
vzpupnost	vz pur n ost
pohlavnost	po hlav n ost
pravoslavnost	prav o slav n ost
živnost	živ n ost
bezbožnost	bez bož n ost
náležitost	ná lež it ost
ochrnutost	o chrn u t ost
levopravost	lev o prav ost
jednotlivost	jedn ot liv ost
čeřivost	čeř iv ost
góluchtivost	gól u cht iv ost
antipropagandovost	anti propag and ov ost
nátlakovost	ná tlak ov ost
vtroušeninovost	v trouš en in ov ost
sextetovost	sext et ov ost
ujmout	u j mou t
řídnout	říd nou t
prořídnout	pro říd nou t
schnout	sch nou t
zašplouchnout	za šplouch nou t
doběhnout	do běh nou t
žehnout	žeh nou t
stihnout	stih nou t
navrhnout	na vrh nou t
zleknout	z lek nou t
vyhoupnout	vy houp nou t
vysunout	vy su nou t
klouznout	klouz nou t
lýkožrout	lýk o žr out
darmožrout	darm o žr out
být	bý t
polozakrýt	pol o za krý t
splav	s plav
velediv	vele div
povalečův	po val eč ův
kardiologův	kardio log ův
bráchův	brách ův
psíčkův	ps íčk ův
pořadatelův	pořad a tel ův
vzdělavatelův	vz děl a v a tel ův
zapisovatelův	za pis ova tel ův
novofundlanďanův	nov o fund lanď an ův
chevalierův	chevalir ův
aranžérův	aranž ér ův
wingrovův	wingrov ův
index	index
pseudokomplex	pseudo komplex
volby	vol b y
sklepácky	sklep ác k y
depešácký	depeš ác k ý
chabrusácký	chabrus ác k ý
oselecký	osel ec k ý
zločinecký	zločin ec k ý
řecký	řec k ý
žernosecký	žern o sec k ý
třebícký	třebí ck ý
limbicky	limb ick ý
ortorombický	orto romb ic k ý
pseudofilozofický	pseudo filosof cik ý
dendrochronologický	dendr o chrono log ick ý
protianglicky	proti angl ick y
agrochemicky	agro chem ick y
ervěnický	
vinopalnický	vin o pal n ic k ý
heršpický	heršpic k ý
piezoelektrický	piez o elektr ic k ý
imunoenzymatický	imun o enzym at ick ý
pluralistický	plural ist ick ý
houslistický	housl ist ick ý
animisticky	anim ist ick ý
mechanistický	mechan ist ick ý
teroristický	teror ist ick ý
klerofašistický	klero faš ist ick ý
chebský	cheb sk ý
dolnolužickosrbský	doln o luž ick ý
uvaděčský	u vad ě č sk ý
zásadský	zá sad n í
gurkhský	gurkh sk ý
alkajský	alkaj sk ý
španělsky	španěl sk ý
vnímatelský	v ním a tel sk ý
vzdělavatelský	vz děl a v a tel sk ý
obroditelský	ob rod i tel sk ý
toktogulsky	toktogul sk y
šlendriánsky	šlendrián sk y
slovanský	slovan sk ý
albigenský	albigen sk ý
saintgermainský	saint germain sk ý
českomalínský	česk o malín sk ý
tišinský	tiš in sk ý
loňský	loň sk ý
katyňský	kat yň sk ý
podčápský	pod čáp sk ý
krasnodarský	krasn o dar sk ý
diskařský	disk ař sk ý
bakalářský	bakalář sk ý
židobolševickozednářský	žid o bolševic k o zed n ář sk ý
dřevařský	dřev ař sk ý
karlovarský	karl o var sk ý
pivovarský	viv o var sk ý
velišský	veliš sk ý
dětský	dět sk ý
muzikantský	muzik ant sk ý
městský	měst sk ý
zdislavský	zdislav sk ý
ostravsky	ostrav sk y
ostravský	ostrav sk ý
dlouhotřebovský	dlouh o třeb ov sk ý
protibushovský	proti bush ovsk ý
sabbathovsky	sabbath ovsk y
warholovsky	warhol ovsk y
saddámovský	saddám ovsk ý
božanovský	božanov sk ý
cheucerovský	cheucer ovský
zeťovský	zeť ovsk ý
ostrožský	ostrož sk ý
francouzský	franc ouz sk ý
brzký	brz k ý
vyzáblý	vy záb l ý
rozsáhlý	roz sáh l ý
prokřehlý	pro křeh l ý
modrobílý	modr o bíl ý
čilý	čil ý
vzniklý	vz nik l ý
svislý	s vis l ý
letmý	let m ý
nastřádaný	na střád a n ý
rozmrdaný	roz mrd a n ý
zvytrhaný	z vy trh a n ý
vysekaný	vy sek a n ý
rozkvrdlaný	roz kvrdl a n ý
vyslaný	vy sl a n ý
nadýmaný	na dým a n ý
zavejraný	za vejr a n ý
pocintaný	po cint a n ý
intelektualizovávaný	intelekt ual izová v a n ý
znásobovaný	z násob ova n ý
navzorkovaný	na vzor k ová v a n ý
odhalovaný	od hal ova n ý
seštelovaný	se štel ova n ý
tuplovaný	tupl ova n ý
předformovaný	před form ova n ý
zasanovaný	za san ova n ý
sekvenovaný	sekven ova n ý
přikomponovaný	při kom pon ova n ý
otipovaný	o tip ova n ý
zcenzurovaný	z cenzur ova n ý
přemosťovaný	pře mosť ova n ý
vydřevovaný	vy dřev ova n ý
popularizovaný	popular iz ova n ý
energetizovaný	energet iz ova n ý
dotázaný	do táz a n ý
ohryzaný	o hryz a n ý
vláčný	vláč n ý
konečný	koneč n ý
malobuněčný	mal o buněč n ý
prázdný	prázdn ý
rozblácený	roz blác en ý
vytracený	vy trac en ý
zachvácený	za chvác en ý
roztrpčený	roz trpč en ý
ztekucený	z tek uc en ý
prováděný	pro vád ě n ý
kvílený	kvíl e n ý
vyplaněný	vy plan ě n ý
usnadněný	u snadn ěn ý
temněný	tem n ě n ý
přebásněný	pře básn ěn ý
sušený	suš en ý
spočtený	s po čt en ý
ukořistěný	u kořist ěn ý
přitištěný	při tišt ěn ý
navštívený	navštív en ý
voražený	vo raž en ý
střižený	střiž en ý
vtržený	v trž en ý
pěkný	pěkn ý
nakydatelný	na kyd a teln ý
pronajímatelný	pro na jím a teln ý
zachřoupávatelný	za chřoup á v a teln ý
prefabrikovatelný	pre fabrik va teln ý
směrovatelný	s měr ova teln ý
obouvatelný	ob ouv a teln ý
kročitelný	kroč i teln ý
cílitelný	cít i teln ý
rozřešitelný	roz řeš i teln ý
přiobléknutelný	při ob lék nou t
vyříznutelný	vy říz nu teln ý
patnáctidílný	pat náct i díl n ý
pilný	pil n ý
mrtvolný	mrtv ol n ý
úmyslný	ú mysl n ý
pětaosmdesátičlenný	pět a osm desát i člen n ý
dvacetipramenný	dva cet i pramen n ý
trojsměnný	troj s měn n ý
rohovinný	roh ovin n ý
pony	pony
polojasný	pol o jas n ý
směsný	s měs n ý
těsný	těsn ý
klínopisný	klín o pis n ý
rosný	ros n ý
slavný	slav n ý
politickovýchovný	politic k o vý chov n ý
závažný	zá važ n ý
kyprý	kypr ý
jednoosý	jedn o os ý
předehřátý	přede hřá t ý
stošestapadesátiletý	sto šest a pa desát i let ý
lednicovitý	led nic ovit ý
tisovitý	tis ovit ý
umrznutý	u mrz nu t ý
rozpadavý	roz pad a v ý
plovavý	pl ova v ý
vodivý	vod iv ý
zdánlivý	zdá nliv ý
kormoutivý	kormout iv ý
ložnicový	lož nic ov ý
osmitisícový	osm i tisíc ov ý
kládový	klád ov ý
pětapadesátisekundový	pět a pa desát i sekund ov ý
pochodový	po chod ov ý
půlmetrákový	půl metr ák ov ý
pubrockový	pub rock ov ý
funkrockový	funk rock ov ý
prašníkový	praš ník ov ý
vtokový	v tok ov ý
dlouhoohniskový	dlouh o ohn isk ov ý
sedminahrávkový	sedm i hrad sk ý
patnáctisvazkový	pat náct i s vaz k ov ý
motocyklový	moto cykl ov ý
šestigólový	šest i gól ov ý
parolový	parol ov ý
problémový	problém ov ý
zimový	zim ov ý
skráňový	skráň ov ý
pryčnový	pryčn ov ý
paralenový	paralen ov ý
vilínový	vilín ov ý
inzulínový	inzulín ov ý
topspinový	top spin ov ý
javořinový	javoř in ov ý
obilovinový	obil ovin ov ý
miliónový	milión ov ý
dvoutónový	dv ou tón ov ý
dvojsborový	dv oj s bor ov ý
rotátorový	rot átor ov ý
dvacetipětilitrový	dva cet i pět i litr ov ý
protikongresový	proti kongres ov ý
rozpočtový	roz počt ov ý
diskantový	dis kant ov ý
odchytový	od chyt ov ý
obrazový	ob raz ov ý
naráz	na ráz
fotoobraz	foto ob raz
kaluž	kaluž
