# Derivations direct, srov
chromatika#NNF??-----A---?	chromozom#NNI??-----A---?
chronometr#NNI??-----A---?	chronický#AA???----??---?
chrápat#V????--??-??I??	chroptět#V????--??-??I??
chlastat#V????--??-??I??	chrstnout#V????--??-??P??
krám#NNI??-----A---?	chrám#NNI??-----A---?
chuj#NNI??-----A---?	chvojí#NNN??-----A---?
včil#Db-------------	chvíle#NNF??-----A---?
chvátat#V????--??-??I??	chřipka#NNF??-----A---?
chřipka#NNF??-----A---?	chřípí#NNN??-----A---?
cudný#A????----??---?	cibule#NNF??-----A---?
šifra#NNF??-----A---?	cifra#NNF??-----A---?
cimprcampr#NNIS4-----A----	cikcak#Db-------------
tikat#V????--??-??I??	cikcak#Db-------------
mišmaš#NNI??-----A---?	cikcak#Db-------------
zinek#NNI??-----A---?	cink#NNI??-----A---?
klinkat#V????--??-??I??	cinkat#V????--??-??I??
cirkus#NNI??-----A---?	ciráty#NNIP?-----A---?
kytara#NNF??-----A---?	citera#NNF??-----A---?
cedr#NNI??-----A---?	citron#NNI??-----A---?
čičorka#NNF??-----A---?	cizrna#NNF??-----A---?
cembalo#NNN??-----A---?	clavichord#NNI??-----A---?
akord#NNI??-----A---?	clavichord#NNI??-----A---?
klávesa#NNF??-----A---?	clavichord#NNI??-----A---?
slon#NNM??-----A---?	clonit#V????--??-??I??
cítit#V????--??-??I??	clonit#V????--??-??I??
klonit#V????--??-??I??	clonit#V????--??-??I??
klubko#NNN??-----A---?	klub#NNI??-----A---?
kroutit#V????--??-??I??	křeslo#NNN??-----A---?
krosna#NNF??-----A---?	křeslo#NNN??-----A---?
čoudit#V????--??-??I??	cmrndat#V????--??-??I??
čmoudit#V????--??-??I??	cmrndat#V????--??-??I??
amputovat#V????--??-??B??	computer#NNI??-----A---?
deputace#NNF??-----A---?	computer#NNI??-----A---?
takt#NNI??-----A---?	kontakt#NNI??-----A---?
cíp#NNI??-----A---?	cop#NNI??-----A---?
korzet#NNI??-----A---?	korpus#NNI??-----A---?
korporace#NNF??-----A---?	korpus#NNI??-----A---?
kurtizána#NNF??-----A---?	kurt#NNI??-----A---?
capat#V????--??-??I??	couvat#V????--??-??I??
frnknout#V????--??-??P??	cvrnkat#V????--??-??I??
cecek#NNI??-----A---?	cucat#V????--??-??I??
cumlat#V????--??-??I??	cucat#V????--??-??I??
cajk#NNI??-----A---?	cukat#V????--??-??I??
cvikr#NNI??-----A---?	cvakat#V????--??-??I??
cvok#NNM??-----A---?	cvakat#V????--??-??I??
svůj#AO??----------?	scvrknout#V????--??-??P??
osoba#NNF??-----A---?	scvrknout#V????--??-??P??
sobec#NNM??-----A---?	scvrknout#V????--??-??P??
svoboda#NNF??-----A---?	scvrknout#V????--??-??P??
cyklus#NNI??-----A---?	cyklon#NNI??-----A---?
cancat#V????--??-??I??	cákat#V????--??-??I??
cachtat#V????--??-??I??	cákat#V????--??-??I??
camrat#V????--??-??I??	cákat#V????--??-??I??
courat#V????--??-??I??	cár#NNI??-----A---?
hypotéka#NNF??-----A---?	cícha#NNF??-----A---?
král#NNM??-----A---?	císař#NNM??-----A---?
car#NNM??-----?---?	císař#NNM??-----A---?
datle#NNF??-----A---?	daktyl#NNI??-----A---?
daktyloskopie#NNF??-----A---?	daktyl#NNI??-----A---?
otálet#V????--??-??I??	daleký#A????----??---?
darmo#Db-------------	dar#NNI??-----A---?
dativ#NNI??-----A---?	datum#NNN??-----A---?
imbecil#NNM??-----A---?	debakl#NNI??-----A---?
dubleta#NNF??-----A---?	debl#NNI??-----A---?
dabovat#V????--??-??I??	debl#NNI??-----A---?
deci#NNNXX-----A----	decimovat#V????--??-??I??
ofenziva#NNF??-----A---?	defenziva#NNF??-----A---?
filé#NNNXX-----A----	defilé#NNNXX-----A----
infinitiv#NNI??-----A---?	definice#NNF??-----A---?
finiš#NNI??-----A---?	definice#NNF??-----A---?
floskule#NNF??-----A---?	deflorace#NNF??-----A---?
gusto#NNN??-----A---?	degustace#NNF??-----A---?
dekl#NNI??-----A---?	deka#NNF??-----A---?
cihla#NNF??-----A---?	deka#NNF??-----A---?
kaskáda#NNF??-----A---?	dekadence#NNF??-----A---?
kadence#NNF??-----A---?	dekadence#NNF??-----A---?
inklinovat#V????--??-??I??	deklinace#NNF??-----A---?
klinika#NNF??-----A---?	deklinace#NNF??-----A---?
kolárek#NNI??-----A---?	dekolt#NNI??-----A---?
decentní#AA???----??---?	dekorovat#V????--??-??B??
diskrétní#AA???----??---?	dekret#NNI??-----A---?
koncern#NNI??-----A---?	dekret#NNI??-----A---?
dekagram#NNI??-----A---?	dekáda#NNF??-----A---?
legát#NNM??-----A---?	delegace#NNF??-----A---?
kolega#NNM??-----A----	delegace#NNF??-----A---?
relikvie#NNF??-----A---?	delikt#NNI??-----A---?
marka#NNF??-----A---?	demarkace#NNF??-----A---?
marš#NNI??-----A---?	demarše#NNF??-----A---?
dementi#NNNXX-----A----	demence#NNF??-----A---?
molo#NNN??-----A---?	demolovat#V????--??-??B??
molekula#NNF??-----A---?	demolovat#V????--??-??B??
mustr#NNI??-----A---?	demonstrovat#V????--??-??B??
monstrum#NNN??-----A---?	demonstrovat#V????--??-??B??
monstrance#NNF??-----A---?	demonstrovat#V????--??-??B??
dieta#NNF??-----A---?	den#NNI??-----A---?
žurnál#NNI??-----A---?	den#NNI??-----A---?
všední#AA???----??---?	den#NNI??-----A---?
zde#Db-------------	dnes#Db-------------
nátura#NNF??-----A---?	denaturovaný#AA???----??---?
paradentóza#NNF??-----A---?	dentální#AA???----1?---?
plsť#NNF??-----A---?	depilace#NNF??-----A---?
pozice#NNF??-----A---?	deponovat#V????--??-??B??
depo#NNN??-----A---?	deponovat#V????--??-??B??
deponovat#V????--??-??B??	deportovat#V????--??-??I??
pres#NNI??-----A---?	deprese#NNF??-----A---?
privát#NNI??-----A---?	deprivace#NNF??-----A---?
riviéra#NNF??-----A---?	derivace#NNF??-----A---?
dřít#V????--??-??I??	dermatologie#NNF??-----A---?
signál#NNI??-----A---?	design#NNI??-----A---?
insignie#NNF??-----A---?	design#NNI??-----A---?
disk#NNI??-----A---?	deska#NNF??-----A---?
skripta#NNNP?-----A---?	deskriptivní#AA???----1?---?
konspekt#NNI??-----A---?	despekt#NNI??-----A---?
obstrukce#NNF??-----A---?	destrukce#NNF??-----A---?
struktura#NNF??-----A---?	destrukce#NNF??-----A---?
talíř#NNI??-----A---?	detail#NNI??-----A---?
protekce#NNF??-----A---?	detektiv#NNM??-----A---?
termín#NNI??-----A---?	determinovat#V????--??-??B??
dunět#V????--??-??I??	detonace#NNF??-----A---?
valence#NNF??-----A---?	devalvovat#V????--??-??B??
divize#NNF??-----A---?	devíza#NNF??-----A---?
dividenda#NNF??-----A---?	devíza#NNF??-----A---?
votivní#AA???----1?---?	devótní#AA???----??---?
servis#NNI??-----A---?	dezert#NNI??-----A---?
série#NNF??-----A---?	dezertovat#V????--??-??B??
sólo#NNN??-----A---?	dezolátní#AA???----??---?
dialog#NNI??-----A---?	dia#AAXXX----1A----
trigonometrie#NNF??-----A---?	diagonála#NNF??-----A---?
graf#NNI??-----A---?	diagram#NNI??-----A---?
krize#NNF??-----A---?	diakritický#AA???----??---?
idiolekt#NNI??-----A---?	dialekt#NNI??-----A---?
lekce#NNF??-----A---?	dialekt#NNI??-----A---?
noetika#NNF??-----A---?	dianetika#NNF??-----A---?
sporadický#AA???----??---?	diaspora#NNF??-----A---?
apoštol#NNM??-----A---?	diastola#NNF??-----A---?
systola#NNF??-----A---?	diastola#NNF??-----A---?
termální#AA???----1?---?	diatermie#NNF??-----A---?
disciplína#NNF??-----A---?	didaktika#NNF??-----A---?
ekonomie#NNF??-----A---?	diecéze#NNF??-----A---?
konference#NNF??-----A---?	diference#NNF??-----A---?
transfuze#NNF??-----A---?	difúze#NNF??-----A---?
gesto#NNN??-----A---?	digestoř#NNF??-----A---?
bit#NNI??-----A---?	digitální#AA???----??---?
agrese#NNF??-----A---?	digrese#NNF??-----A---?
regrese#NNF??-----A---?	digrese#NNF??-----A---?
jurisdikce#NNF??-----A---?	dikce#NNF??-----A---?
verdikt#NNI??-----A---?	dikce#NNF??-----A---?
epilepsie#NNF??-----A---?	dilema#NNN??-----A---?
lavor#NNI??-----A---?	diluvium#NNN??-----A---?
meditovat#V????--??-??I??	dimenze#NNF??-----A---?
brontosaurus#NNM??-----A---?	dinosaurus#NNM??-----A---?
optika#NNF??-----A---?	dioptrie#NNF??-----A---?
panoptikum#NNN??-----A---?	dioptrie#NNF??-----A---?
diplomat#NNM??-----A---?	diplom#NNI??-----A---?
triptych#NNI??-----A---?	diptych#NNI??-----A---?
sentence#NNF??-----A---?	disent#NNI??-----A---?
senzace#NNF??-----A---?	disent#NNI??-----A---?
prezident#NNM??-----?---?	disident#NNM??-----A---?
sedět#V????--??-??I??	disident#NNM??-----A---?
simulovat#V????--??-??I??	disimilace#NNF??-----A---?
konjunkce#NNF??-----A---?	disjunkce#NNF??-----A---?
kriminál#NNI??-----A---?	diskriminovat#V????--??-??B??
sonet#NNI??-----A---?	disonance#NNF??-----A---?
parita#NNF??-----A---?	disparátní#AA???----??---?
kompenzovat#V????--??-??B??	dispens#NNI??-----A---?
explicitní#AA???----??---?	displej#NNI??-----A---?
komponovat#V????--??-??I??	disponovat#V????--??-??I??
oponovat#V????--??-??I??	disponovat#V????--??-??I??
reputace#NNF??-----A---?	disputace#NNF??-----A---?
substance#NNF??-----A---?	distance#NNF??-----A---?
distinkce#NNF??-----A---?	distingvovaný#AA???----??---?
tortura#NNF??-----A---?	distorze#NNF??-----A---?
dort#NNI??-----A---?	distorze#NNF??-----A---?
striktní#AA???----??---?	distrikt#NNI??-----A---?
úd#NNI??-----A---?	dít#V???---??-??I??
zdát#V????--??-??I??	dít#V???---??-??I??
kadlub#NNI??-----A---?	dlabat#V????--??-??I??
dláždit#V????--??-??I??	dlaha#NNF??-----A---?
dluh#NNI??-----A---?	dlaha#NNF??-----A---?
půda#NNF??-----A---?	podlaha#NNF??-----A---?
mlaskat#V????--??-??I??	dlask#NNM??-----A---?
dna#NNF??-----A---?	dno#NNN??-----A---?
zdobit#V????--??-??I??	doba#NNF??-----A---?
dobrý#AA???----??---?	doba#NNF??-----A---?
dokument#NNI??-----A---?	docent#NNM??-----A---?
doktor#NNM??-----A---?	docent#NNM??-----A---?
dáma#NNF??-----A---?	doména#NNF??-----A---?
domino#NNN??-----A---?	doména#NNF??-----A---?
dar#NNI??-----A---?	donace#NNF??-----A---?
dokavad#Db-------------	dosud#Db-------------
zoufat#V????--??-??I??	doufat#V????--??-??I??
duřet#V????--??-??I??	dout#V???---??-??I??
dým#NNI??-----A---?	dout#V???---??-??I??
dráb#NNM??-----A---?	drabař#NNM??-----A---?
drak#NNM??-----A---?	dragoun#NNM??-----A---?
drastický#AA???----??---?	drama#NNN??-----A---?
drnčet#V????--??-??I??	drandit#V????--??-??I??
trkat#V????--??-??I??	drcat#V????--??-??I??
drbat#V????--??-??I??	drchat#V????--??-??I??
drhnout#V????--??-??I??	drchat#V????--??-??I??
pendrek#NNI??-----A---?	drek#NNI??-----A---?
dresink#NNI??-----A---?	drezura#NNF??-----A---?
drops#NNI??-----A---?	driblovat#V????--??-??I??
třít#V????--??-??I??	drolit#V????--??-??I??
velodrom#NNI??-----A---?	dromedár#NNM??-----A---?
drop#NNM??-----A---?	dromedár#NNM??-----A---?
dršťka#NNF??-----A----	drsný#AA???----??---?
drásat#V????--??-??I??	drsný#AA???----??---?
druhý#AA?????????????	druh#NNI??-----A---?
držet#V????--??-??I??	druh#NNI??-----A---?
zvíře#NNN??-----A---?	dryák#NNI??-----A---?
duel#NNI??-----A---?	dubiózní#AA???----1?---?
buclatý#AA???----??---?	ducatý#AA???----??---?
tchoř#NNM??-----A---?	duch#NNM??-----A---?
gajdy#NNFP?-----A---?	dudy#NNFP?-----A---?
duál#NNI??-----A---?	duet#NNI??-----A---?
duet#NNI??-----A---?	duo#NNN??-----A----
aluminium#NNN??-----A---?	dural#NNI??-----A---?
dur#NNIXX-----A----	dural#NNI??-----A---?
rdousit#V????--??-??I??	dusit#V????--??-??I??
lexikon#NNI??-----A---?	dyslexie#NNF??-----A---?
daň#NNF??-----A---?	dáseň#NNF??-----A---?
dav#NNI??-----A---?	dávit#V????--??-??I??
daleký#A????----??---?	dělit#V????--??-??I??
dlít#V????--??-??I??	dělit#V????--??-??I??
vedle#Db-------------	dělit#V????--??-??I??
lady#NNFXX-----A----	díže#NNF??-----A---?
zeď#NNF??-----A---?	díže#NNF??-----A---?
dukát#NNI??-----A---?	dóže#NNMS?-----A----
drvoštěp#NNM??-----A---?	dřevo#NNN??-----A---?
zdravý#A????----??---?	dřevo#NNN??-----A---?
džbán#NNI??-----A---?	džber#NNI??-----A---?
jíška#NNF??-----A---?	džus#NNI??-----A---?
interdikt#NNI??-----A---?	edikt#NNI??-----A---?
ekvátor#NNI??-----A---?	egalizace#NNF??-----A---?
adjektivum#NNN??-----A---?	ejakulace#NNF??-----A---?
dialekt#NNI??-----A---?	eklektický#AA???----??---?
ekloga#NNF??-----A---?	eklektický#AA???----??---?
elipsa#NNF??-----A---?	ekliptika#NNF??-----A---?
libra#NNF??-----A---?	ekvilibristika#NNF??-----A---?
aureola#NNF??-----A---?	eldorádo#NNN??-----A---?
legie#NNF??-----A---?	elegán#NNM??-----A---?
elita#NNF??-----A---?	elegán#NNM??-----A---?
anoda#NNF??-----A---?	elektro#NNN??-----A----
katoda#NNF??-----A---?	elektro#NNN??-----A----
limit#NNI??-----A---?	eliminovat#V????--??-??B??
kolokvium#NNN??-----A---?	elokvence#NNF??-----A---?
barikáda#NNF??-----A---?	embargo#NNN??-----A---?
symbol#NNI??-----A---?	emblém#NNI??-----A---?
merenda#NNF??-----A---?	emeritní#AA???----1?---?
meritum#NNN??-----A---?	emeritní#AA???----1?---?
fáze#NNF??-----A---?	emfáze#NNF??-----A---?
komise#NNF??-----A---?	emise#NNF??-----A---?
emisar#NNM??-----A---?	emise#NNF??-----A---?
mise#NNF??-----A---?	emise#NNF??-----A---?
misie#NNF??-----A---?	emise#NNF??-----A---?
demise#NNF??-----A---?	emise#NNF??-----A---?
motor#NNI??-----A---?	emoce#NNF??-----A---?
promoce#NNF??-----A---?	emoce#NNF??-----A---?
expert#NNM??-----A---?	empirický#AA???----??---?
pirát#NNM??-----A---?	empirický#AA???----??---?
mlezivo#NNN??-----A---?	emulze#NNF??-----A---?
empirický#AA???----??---?	en#NNXXX-----A----
enzym#NNI??-----A---?	en#NNXXX-----A----
konkláve#NNN??-----A----	enkláva#NNF??-----A---?
anatomie#NNF??-----A---?	entomologie#NNF??-----A---?
teologie#NNF??-----A---?	entropie#NNF??-----A---?
numero#NNN??-----A---?	enumerace#NNF??-----A---?
pandemie#NNF??-----A---?	epidemie#NNF??-----A---?
geneze#NNF??-----A---?	epigon#NNM??-----A---?
genocida#NNF??-----A---?	epigon#NNM??-----A---?
prolog#NNI??-----A---?	epilog#NNI??-----A---?
dojit#V????--??-??I??	epitel#NNI??-----A---?
perioda#NNF??-----A---?	epizoda#NNF??-----A---?
en#NNXXX-----A----	epizoda#NNF??-----A---?
eunuch#NNM??-----A---?	epocha#NNF??-----A---?
špachtle#NNF??-----A---?	epoleta#NNF??-----A---?
poezie#NNF??-----A---?	epopej#NNF??-----A---?
epopej#NNF??-----A---?	epos#NNI??-----A---?
rekce#NNF??-----A---?	erekce#NNF??-----A---?
koroze#NNF??-----A---?	eroze#NNF??-----A---?
interrupce#NNF??-----A---?	erupce#NNF??-----A---?
éra#NNF??-----A---?	erár#NNI??-----A---?
exaktní#AA???----??---?	esej#NNI??-----A---?
eskadrona#NNF??-----A---?	eskadra#NNF??-----A---?
škála#NNF??-----A---?	eskalace#NNF??-----A---?
desperát#NNM??-----A---?	esperanto#NNN??-----A---?
stabilní#AA???----??---?	etamín#NNI??-----A---?
stopa#NNF??-----A---?	etapa#NNF??-----A---?
štafeta#NNF??-----A---?	etapa#NNF??-----A---?
štafl#NNI??-----A---?	etapa#NNF??-----A---?
etuda#NNF??-----A---?	etuje#NNF??-----A---?
stáž#NNF??-----A---?	etáž#NNF??-----A---?
foném#NNI??-----A---?	eufonie#NNF??-----A---?
fonologie#NNF??-----A---?	eufonie#NNF??-----A---?
erupce#NNF??-----A---?	ex#NNXXX-----A----
exhibice#NNF??-----A---?	ex#NNXXX-----A----
recese#NNF??-----A---?	exces#NNI??-----A---?
perzekuce#NNF??-----A---?	exekuce#NNF??-----A---?
exekutiva#NNF??-----A---?	exekuce#NNF??-----A---?
promptní#AA???----??---?	exemplář#NNI??-----A---?
archa#NNF??-----A---?	exercicie#NNFP?-----A---?
humus#NNI??-----A---?	exhumace#NNF??-----A---?
žula#NNF??-----A---?	exil#NNI??-----A---?
konkávní#AA???----??---?	exkavátor#NNI??-----A---?
ex#NNXXX-----A----	exlibris#NNNXX-----A----
libreto#NNN??-----A---?	exlibris#NNNXX-----A----
imponovat#V????--??-??I??	exponát#NNI??-----A---?
tempo#NNN??-----A---?	extempore#NNN??-----A---?
vagabund#NNM??-----A---?	extravagantní#AA???----??---?
fabrikát#NNI??-----A---?	fabrika#NNF??-----A---?
pípa#NNF??-----A---?	fajfka#NNF??-----A---?
fax#NNI??-----A---?	faksimile#NNN??-----A---?
faktura#NNF??-----A---?	faktor#NNI??-----A---?
falzet#NNI??-----A---?	faleš#NNF??-----A----
falzum#NNN??-----A---?	faleš#NNF??-----A----
faleš#NNF??-----A----	falírovat#V????--??-??I??
paténa#NNF??-----A---?	fanka#NNF??-----A---?
pánev#NNF??-----A---?	fanka#NNF??-----A---?
fant#NNI??-----A---?	fangle#NNF??-----A---?
emfáze#NNF??-----A---?	fantazie#NNF??-----A---?
fáč#NNI??-----A---?	fascikl#NNI??-----A---?
fasáda#NNF??-----A---?	fazona#NNF??-----A---?
preface#NNF??-----A---?	fatální#AA???----??---?
fauna#NNF??-----A---?	faun#NNM??-----A---?
fábor#NNI??-----A---?	favorit#NNI??-----A---?
facka#NNF??-----A---?	faseta#NNF??-----A---?
půst#NNI??-----A---?	fašank#NNI??-----A---?
šenk#NNI??-----A---?	fašank#NNI??-----A---?
infarkt#NNI??-----A---?	fašírka#NNF??-----A---?
fór#NNI??-----A---?	fedrovat#V????--??-??I??
fortel#NNI??-----A---?	fedrovat#V????--??-??I??
fena#NNF??-----A---?	femininum#NNN??-----A---?
fata#NNF??-----A---?	féerie#NNF??-----A---?
vernisáž#NNF??-----A---?	fermež#NNF??-----A---?
viola#NNF??-----A---?	fidlat#V????--??-??I??
díže#NNF??-----A---?	figura#NNF??-----A---?
fikce#NNF??-----A---?	figura#NNF??-----A---?
fingovat#V????--??-??B??	figura#NNF??-----A---?
finta#NNF??-----A---?	figura#NNF??-----A---?
fígl#NNI??-----A---?	fikaný#AA???----??---?
pedofil#NNM??-----A---?	fil#NNI??-----A---?
tele#NNN??-----A---?	filatelie#NNF??-----A---?
profil#NNI??-----A---?	filigránský#AA???----??---?
prám#NNI??-----A---?	práce#NNF??-----A---?
pór#NNI??-----A---?	práce#NNF??-----A---?
sofistika#NNF??-----A---?	filozofie#NNF??-----A---?
konfiskovat#V????--??-??B??	fiskální#AA???----??---?
profit#NNI??-----A---?	fit#AAXXX----1A----
fit#AAXXX----1A----	fitink#NNI??-----A---?
fixa#NNF??-----A---?	fixovat#V????--??-??I??
fučet#V????--??-??I??	fičet#V????--??-??I??
vlna#NNF??-----A---?	flanel#NNI??-----A---?
náplast#NNF??-----A---?	flastr#NNI??-----A---?
plast#NNI??-----A---?	flastr#NNI??-----A---?
flašinet#NNI??-----A---?	flažolet#NNI??-----A---?
flétna#NNF??-----A---?	flažolet#NNI??-----A---?
inflace#NNF??-----A---?	flažolet#NNI??-----A---?
plout#V????--??-??I??	flotila#NNF??-----A---?
floutek#NNM??-----A---?	flusat#V????--??-??I??
flinkat#V????--??-??I??	fláknout#V????--??-??P??
pluk#NNI??-----A---?	folklor#NNI??-----A---?
fondue#NNNXX-----A----	fondán#NNI??-----A---?
piano#NNN??-----A---?	forte#Db-------------
forsírovat#V????--??-??I??	fortifikace#NNF??-----A---?
dvůr#NNI??-----A---?	fórum#NNN??-----A---?
stevard#NNM??-----A---?	forvard#NNM??-----A---?
forčeking#NNI??-----A---?	forvard#NNM??-----A---?
fotogenický#AA???----??---?	foto#NNN??-----A---?
foxtrot#NNI??-----A---?	foxteriér#NNM??-----A---?
fixlovat#V????--??-??I??	foxteriér#NNM??-----A---?
fofr#NNI??-----A---?	foyer#NNI??-----A---?
frakce#NNF??-----A---?	fragment#NNI??-----A---?
fraktura#NNF??-----A---?	fragment#NNI??-----A---?
frajer#NNM??-----A---?	fraj#AAXXX----1A----
chrnět#V????--??-??I??	frňák#NNI??-----A---?
fouňa#NNM??-----A----	funět#V????--??-??I??
fúrie#NNF??-----A---?	furiant#NNM??-----A---?
fretka#NNF??-----A---?	furunkl#NNI??-----A---?
futro#NNN??-----A---?	futrál#NNI??-----A---?
capart#NNM??-----A---?	fyziologie#NNF??-----A---?
famílie#NNF??-----A---?	fámulus#NNM??-----A---?
fáro#NNN??-----A---?	fárat#V????--??-??I??
fůra#NNF??-----A---?	fárat#V????--??-??I??
lajntuch#NNI??-----A---?	fěrtoch#NNI??-----A---?
kňučet#V????--??-??I??	fňukat#V????--??-??I??
garáž#NNF??-----A---?	garance#NNF??-----A---?
gang#NNI??-----A---?	gatě#NNFP?-----A----
dislokovat#V????--??-??B??	gauč#NNI??-----A---?
angažovat#V????--??-??I??	gazela#NNF??-----A---?
glazura#NNF??-----A---?	gel#NNI??-----A---?
génius#NNM??-----A---?	generální#AA???----1?---?
genitiv#NNI??-----A---?	genitál#NNI??-----A---?
glazé#AAXXX----1A----	glaciál#NNI??-----A---?
gladiátor#NNM??-----A---?	gladiola#NNF??-----A---?
leader#NNM??-----A---?	glejt#NNI??-----A---?
leitmotiv#NNI??-----A---?	glejt#NNI??-----A---?
polyglot#NNM??-----A---?	glosa#NNF??-----A---?
izoglosa#NNF??-----A---?	diglosie#NNF??-----A---?
lékořice#NNF??-----A---?	glukóza#NNF??-----A---?
